web	insectorder	insectfamily	insectgenus	insectspecies	plantfamily	plantgenus	plantspecies	interquant
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Hydrangeaceae 	Hydrangea 	hortensis 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Mimosaceae 	Acacia 	floribunda	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Oxalidaceae 	Oxalis 	floribunda	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Primulaceae 	Primula		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Saxifragaceae 	Heuchera 		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Scrophulariaceae 	Digitalis 	purpurea 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Urticaceae 	Laportea 	gigas 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Valerianaceae 	Valeriana 	montana 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ornatus 	Violaceae 	Viola 		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Cucurbitaceae 	Lagenaria 	vulgaris 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Geraniaceae 	Pelargonium		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Hydrangeaceae 	Hydrangea	hortensis 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Lamiaceae 	Salvia		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Malvaceae 	Hibiscus	rosa-sinensis	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Resedaceae 	Reseda 	odorata	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	ascalonicus	Scrophulariaceae 	Hebe 		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Acanthaceae	Aphelandra 	aurantiaca	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Agavaceae 	Cordyline 	terminalis	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Aizoaceae 	Aptenia 	cordifolia 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Amaranthaceae 	Pleuropetalum	darwinii	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Apocynaceae 	catharanthus		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Araceae 	Anthurium 	andraeanum	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Araceae 	Syngonium	podophyllum	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Araceae 	Zantedeschia	aethiopica	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Araliaceae 	Hedera 	helix 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Bellis 	perennis 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Chrysanthemum	hybridum	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Chrysanthemum	indicum	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Cineraria 		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Dendranthema		1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Gazania	heterophylla	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Senecio 	hybridus 	1
Yovkova2013	Hemiptera	Aphididae	Myzus 	persicae 	Asteraceae 	Senecio 	rowleyanus	1
